Signatur;Signatur_Archivplan;AutorIn;Titel_Name;Entstehungszeitraum;Sprache;Allgemeine_Bemerkungen;Archivalienart;Kollation;Anzahl_Digitalisate;Dateiname_Digitalisat;URL_Datensatz;URL_Bild;Schrift;Ort;Bemerkung_Entstehungszeitraum;Beilagen;AbsenderIn;AdressatIn;Anzahl_Briefe;Farbe;Orientierung_Form
SLA-RMR-E_31-1;E_31-1;Rilke, Rainer Maria;Rilke, Rainer Maria: Alle die Stimmen der Bäche...;exakt: 1923;Deutsch;"Widmungsgedicht für Wunderly-Volkart, Nanny; eingetragen in: Duineser Elegien, Leipzig, 1923; Mikrofilm Varia_4 u. Varia_5";Werkmanuskript;2 S., hs.;2;"E_31_S_01;E_31_S_02";https://www.helveticarchives.ch/detail.aspx?ID=212592;"https://www.helveticarchives.ch/bild.aspx?VEID=212592&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=212592&DEID=10&SQNZNR=2";;;;;;;;;
SLA-RMR-Ms_D_13;Ms_D_13;Rilke, Rainer Maria;Rilke, Rainer Maria: Aus dem Nachlass des Grafen C. W.;;Deutsch;"10 Gedichte; Mikrofilm Varia_1";Werkmanuskript;26 S., hs.;32;"MS_D_13_S_01;MS_D_13_S_02;MS_D_13_S_03;MS_D_13_S_04;MS_D_13_S_05;MS_D_13_S_06;MS_D_13_S_07;MS_D_13_S_08;MS_D_13_S_09;MS_D_13_S_10;MS_D_13_S_11;MS_D_13_S_12;MS_D_13_S_13;MS_D_13_S_15;MS_D_13_S_16;MS_D_13_S_17;MS_D_13_S_18;MS_D_13_S_19;MS_D_13_S_20;MS_D_13_S_21;MS_D_13_S_22;MS_D_13_S_23;MS_D_13_S_24;MS_D_13_S_25;MS_D_13_S_26;MS_D_13_S_27;MS_D_13_S_28;MS_D_13_S_29;MS_D_13_S_30;MS_D_13_S_31;MS_D_13_S_32";https://www.helveticarchives.ch/detail.aspx?ID=212597;"https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=3;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=4;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=5;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=6;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=7;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=8;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=9;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=10;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=11;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=12;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=13;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=15;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=16;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=17;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=18;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=19;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=20;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=21;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=22;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=23;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=24;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=25;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=26;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=27;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=28;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=29;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=30;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=31;https://www.helveticarchives.ch/bild.aspx?VEID=212597&DEID=10&SQNZNR=32";hs.;;;;;;;;
SLA-RMR-Ms_D_51/1-3;Ms_D_51/1-3;Rilke, Rainer Maria;Rilke, Rainer Maria: Aus dem Nachlass des Grafen C. W.;s.d.;Deutsch;Gedichtentwürfe;Werkmanuskript;8°, 3 Bl., hs., Bleistift;4;"MS_D_51_1_r;MS_D_51_1_v;MS_D_51_2;MS_D_51_3";https://www.helveticarchives.ch/detail.aspx?ID=212598;"https://www.helveticarchives.ch/bild.aspx?VEID=212598&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=212598&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=212598&DEID=10&SQNZNR=3";;o. O.;;;;;;;
SLA-RMR-E_274-1;E_274-1;Rilke, Rainer Maria;Rilke, Rainer Maria: Das Buch der Bilder;exakt: 1923;Deutsch;"Insel-Verlag; m. einer Widmung an Voorhoeve, Coby (Mme): Val-Mont, 1926-05; aus dem Nachlass v. Voorhoeve-Voorhoeve, Jacoba (Frau)";Werkmanuskript;;2;"E_274_S_01;E_274_S_02";https://www.helveticarchives.ch/detail.aspx?ID=212600;"https://www.helveticarchives.ch/bild.aspx?VEID=212600&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=212600&DEID=10&SQNZNR=2";;Leipzig;;;;;;;
SLA-RMR-Ms_D_55.1;Ms_D_55.1;Rilke, Rainer Maria;Rilke, Rainer Maria: Drum sorge nicht, ob du etwa verlörst...;s.d.;Deutsch;"Gedichtentwurf; Beil.: Masch.-Abschrift; Mikrofilm Varia_2";Werkmanuskript;hs., Bleistift, Rückseite eines Visitenkartencouverts;3;"MS_D_55_X_01;MS_D_55_X_02_r;MS_D_55_X_02_v";https://www.helveticarchives.ch/detail.aspx?ID=212604;"https://www.helveticarchives.ch/bild.aspx?VEID=212604&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=212604&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=212604&DEID=10&SQNZNR=3";hs.;o. O.;;;;;;;
SLA-RMR-Ms_D_9;Ms_D_9;Rilke, Rainer Maria;Rilke, Rainer Maria: Elegie. Abgeschrieben aus dem Taschenbuch für Regina [Ullmann] / nach der ersten Rückkehr aus Burghausen am 1. Dezember 1916;exakt: 19161201;Deutsch;Err:509;Werkmanuskript;8°, 4 Bl., hs.;;"MS_D_9_S_01;MS_D_9_S_02;MS_D_9_S_03;MS_D_9_S_04";https://www.helveticarchives.ch/detail.aspx?ID=212607;"https://www.helveticarchives.ch/bild.aspx?VEID=212607&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=212607&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=212607&DEID=10&SQNZNR=3;https://www.helveticarchives.ch/bild.aspx?VEID=212607&DEID=10&SQNZNR=4";;;;;;;;;
SLA-RMR-Ms_D_49-1;Ms_D_49-1;Rilke, Rainer Maria;Rilke, Rainer Maria: Es liebt ein Herz, dass es...;exakt: 1919;Deutsch;"Gedichtentwurf; Beil.: Masch.-Abschrift; Mikrofilm Varia_2";Werkmanuskript;"hs., Bleistift; auf Briefumschl.";;Ms_D_49_X_01_r;https://www.helveticarchives.ch/detail.aspx?ID=212610;https://www.helveticarchives.ch/bild.aspx?VEID=212610&DEID=10&SQNZNR=1;;Bern;;;;;;;
SLA-RMR-Ms_D_6;Ms_D_6;Rilke, Rainer Maria;Rilke, Rainer Maria: für Nike / Nacht, o du in Tiefe gelöstes / Gesicht...;s.d.;Deutsch;"Gedicht; Mikrofilm Varia_4 u. Varia_5";Werkmanuskript;1 Bl., hs.;;MS_D_6;https://www.helveticarchives.ch/detail.aspx?ID=212614;https://www.helveticarchives.ch/bild.aspx?VEID=212614&DEID=10&SQNZNR=1;hs.;;;;;;;;
SLA-RMR-Ms_D_5;Ms_D_5;Rilke, Rainer Maria;Rilke, Rainer Maria: Gieb mir, oh Erde, den reinen / Thin...;s.d.;Deutsch;"Gedicht; Mikrofilm Varia_4 u. Varia_5";Werkmanuskript;1 Bl., hs.;;MS_D_5;https://www.helveticarchives.ch/detail.aspx?ID=212620;https://www.helveticarchives.ch/bild.aspx?VEID=212620&DEID=10&SQNZNR=1;;;;;;;;;
SLA-RMR-Ms_D_8;Ms_D_8;Rilke, Rainer Maria;Rilke, Rainer Maria: Musik. Für Herrn Lorenz Lehr: / Musik;;Deutsch;Gedicht;Werkmanuskript;8°, 3 S., hs., faks.;;"MS_D_8_S_01;MS_D_8_S_02;MS_D_8_S_03";https://www.helveticarchives.ch/detail.aspx?ID=212632;"https://www.helveticarchives.ch/bild.aspx?VEID=212632&DEID=10&SQNZNR=1;https://www.helveticarchives.ch/bild.aspx?VEID=212632&DEID=10&SQNZNR=2;https://www.helveticarchives.ch/bild.aspx?VEID=212632&DEID=10&SQNZNR=3";;Muzot;;;;;;;
